Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Busselton,AU,55.09,clear sky,-33.65,115.3333,Observatory Guest House
89,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
90,Ribeira Grande,PT,61.3,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
92,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
93,Hambantota,LK,76.42,broken clouds,6.1241,81.1185,Bungalow 63
97,Bull Savanna,JM,76.55,scattered clouds,17.8868,-77.5902,Big Red's
98,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
104,Jimani,DO,89.49,clear sky,18.4917,-71.8502,HOTEL LA TORRE
105,Payson,US,51.58,few clouds,40.0444,-111.7321,Quality Inn Payson I-15
106,Kikwit,CD,71.35,light rain,-5.041,18.8162,HOTEL PLACE YALABA
107,Padang,ID,76.17,overcast clouds,-0.9492,100.3543,Mercure Padang
108,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
109,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
110,Harlingen,US,69.75,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
111,Nador,MA,53.85,broken clouds,35.174,-2.9287,Hôtel La Giralda
117,Tuatapere,NZ,50.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
120,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
121,Bethel,US,52.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
122,Arraial Do Cabo,BR,73.26,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
123,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
124,Monte Santo,BR,75.42,broken clouds,-10.4378,-39.3328,Pousada Pingo D'Água
125,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
128,Xiamen,CN,59.05,scattered clouds,24.4798,118.0819,Xiamen Dongchen Hotel
