City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Tuatapere,NZ,-46.1333,167.6833,50.83,75,100,7.09,overcast clouds
118,Genhe,CN,50.7833,121.5167,-24.81,100,39,1.23,scattered clouds
119,Tonstad,NO,58.6626,6.7169,43.63,99,100,13.11,moderate rain
120,Kailua,US,21.4022,-157.7394,80.58,64,20,10.36,few clouds
121,Bethel,US,41.3712,-73.414,52.16,49,0,8.05,clear sky
122,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,0.0,light intensity drizzle
123,Oistins,BB,13.0667,-59.5333,78.89,69,40,16.11,scattered clouds
124,Monte Santo,BR,-10.4378,-39.3328,75.42,67,61,3.09,broken clouds
125,Souillac,MU,-20.5167,57.5167,80.98,83,75,5.75,light intensity shower rain
126,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,6.91,broken clouds
127,Baoshan,CN,46.5586,131.4244,-5.55,94,41,6.11,scattered clouds
128,Xiamen,CN,24.4798,118.0819,59.05,82,40,4.47,scattered clouds
129,Quatre Cocos,MU,-20.2078,57.7625,80.71,86,11,11.27,moderate rain
130,Avera,US,33.194,-82.5271,69.71,43,77,7.72,broken clouds
131,Waingapu,ID,-9.6567,120.2641,77.2,82,94,2.71,overcast clouds
132,Mortka,RU,59.3322,66.0214,-3.5,100,95,3.83,overcast clouds
133,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,20,11.5,few clouds
134,Chokurdakh,RU,70.6333,147.9167,-2.09,95,100,13.09,overcast clouds
135,Maningrida,AU,-12.0667,134.2667,81.43,74,64,3.62,broken clouds
136,Carnarvon,AU,-24.8667,113.6333,80.67,69,40,5.75,scattered clouds
137,Moerai,PF,-22.4333,-151.3333,79.75,69,99,5.93,overcast clouds
138,Nikolskoye,RU,59.7035,30.7861,36.72,97,100,12.03,light snow
139,Gaujani,RO,43.7333,25.7,45.28,48,100,10.83,overcast clouds
140,Kahului,US,20.8947,-156.47,82.42,61,40,17.27,scattered clouds
141,Saskylakh,RU,71.9167,114.0833,-3.55,77,58,9.89,broken clouds
142,Ulaanbaatar,MN,47.9077,106.8832,-29.07,68,59,2.24,broken clouds
143,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,100,19.57,drizzle
144,Dikson,RU,73.5069,80.5464,-4.58,81,100,27.16,overcast clouds
145,Capaci,IT,38.1711,13.2393,52.11,76,0,3.44,clear sky
146,Odweyne,SO,9.4092,45.064,62.51,66,100,10.27,overcast clouds
147,Bay Roberts,CA,47.5999,-53.2648,47.52,84,85,8.01,overcast clouds
148,Broome,US,42.2506,-75.833,36.18,69,100,11.5,overcast clouds
149,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,10.36,clear sky
150,Faya,SA,18.3851,42.4509,57.72,64,3,6.51,clear sky
151,Sinop,TR,41.7711,34.8709,33.87,90,100,4.07,overcast clouds
152,Bagotville,AU,-28.9833,153.4167,71.62,85,100,10.76,overcast clouds
153,Coihaique,CL,-45.5752,-72.0662,84.81,47,33,5.01,scattered clouds
154,Pacific Grove,US,36.6177,-121.9166,85.59,29,0,4.61,clear sky
155,Sao Filipe,CV,14.8961,-24.4956,77.43,46,63,20.8,broken clouds
156,Richards Bay,ZA,-28.783,32.0377,73.22,87,0,9.17,clear sky
157,Tupik,RU,54.4253,119.9327,-20.97,99,99,2.24,overcast clouds
158,Kapit,MY,2.0167,112.9333,72.16,100,100,1.57,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,64.42,70,40,13.8,scattered clouds
160,Kununurra,AU,-15.7667,128.7333,78.78,94,43,3.44,scattered clouds
161,Vardo,NO,70.3705,31.1107,26.91,64,8,16.28,clear sky
162,Matay,EG,28.419,30.7792,55.69,39,0,4.63,clear sky
163,Owensboro,US,37.7742,-87.1133,28.49,68,100,12.66,overcast clouds
164,Mahebourg,MU,-20.4081,57.7,80.89,83,75,5.75,light intensity shower rain
165,Abrau-Dyurso,RU,44.69,37.59,38.95,77,100,18.59,overcast clouds
166,Susangerd,IR,31.5608,48.1831,50.02,58,10,4.18,clear sky
167,Gotsu,JP,35.0,132.2167,41.65,89,100,4.45,light rain
168,Olinda,BR,-8.0089,-34.8553,83.93,74,40,5.75,scattered clouds
169,Buin,CL,-33.7333,-70.75,88.12,28,22,11.88,few clouds
170,Kibondo,TZ,-3.5864,30.7203,60.53,92,100,1.23,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,20.1,76,43,3.47,scattered clouds
172,Sambava,MG,-14.2667,50.1667,76.41,87,93,7.36,overcast clouds
173,Mecca,SA,21.4267,39.8261,73.42,32,0,7.9,clear sky
174,Charters Towers,AU,-20.1,146.2667,75.54,68,0,12.91,clear sky
175,Tiksi,RU,71.6872,128.8694,-8.25,89,93,14.0,overcast clouds
176,Guymon,US,36.6828,-101.4816,45.52,21,28,13.0,scattered clouds
177,Cruz Alta,BR,-28.6386,-53.6064,71.58,83,75,6.29,light rain
178,Kyzyl-Suu,KG,42.3414,78.0056,22.53,75,99,9.13,overcast clouds
179,Dalbandin,PK,28.8947,64.4101,57.18,21,0,5.06,clear sky
180,Davila,PH,18.4726,120.5763,71.58,75,98,4.36,overcast clouds
181,Meulaboh,ID,4.1363,96.1285,77.2,85,96,3.67,light rain
182,Parabel,RU,58.6978,81.4825,-8.46,100,56,7.34,broken clouds
183,Ryotsu,JP,38.0833,138.4333,39.16,63,100,4.79,overcast clouds
184,Naze,JP,28.3667,129.4833,63.52,89,99,7.83,overcast clouds
185,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
186,Grindavik,IS,63.8424,-22.4338,21.67,79,0,5.75,clear sky
187,Kalmunai,LK,7.4167,81.8167,75.69,90,100,4.88,light rain
188,Barmer,IN,25.75,71.3833,61.72,22,0,4.09,clear sky
189,Terney,RU,45.0503,136.6092,14.09,76,92,15.68,overcast clouds
190,Matadi,CD,-5.8167,13.45,78.39,78,83,3.91,light rain
191,Dawson Creek,CA,55.7666,-120.2362,47.84,43,20,25.32,few clouds
192,Saint-Pierre,RE,-21.3393,55.4781,78.44,83,20,5.75,few clouds
193,Bubaque,GW,11.2833,-15.8333,78.67,68,0,8.43,clear sky
194,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
195,Klaksvik,FO,62.2266,-6.589,40.12,85,92,2.33,overcast clouds
196,Praya,CV,14.9215,-23.5087,73.94,64,95,20.71,overcast clouds
197,Vao,NC,-22.6667,167.4833,79.97,80,99,4.25,overcast clouds
198,Sabang,ID,5.8933,95.3214,82.2,73,40,16.71,scattered clouds
199,Xiaoyi,CN,34.6178,109.703,37.58,66,0,4.14,clear sky
200,Vilyuysk,RU,63.7553,121.6247,-27.71,100,100,2.64,overcast clouds
201,Lumphat,KH,13.4878,106.9816,72.75,78,56,5.21,broken clouds
202,Gelemso,ET,8.8167,40.5167,60.08,59,2,5.08,clear sky
203,Mao,ES,39.8885,4.2658,48.76,87,0,8.05,clear sky
204,Mount Gambier,AU,-37.8333,140.7667,71.51,53,83,10.36,broken clouds
205,Polunochnoye,RU,60.8697,60.4153,-5.37,100,100,1.9,overcast clouds
206,Pokrovskoye,RU,47.4157,38.8971,36.81,78,77,17.25,broken clouds
207,Russell,US,32.3502,-85.1999,70.38,36,0,6.91,clear sky
208,Fortuna,US,40.5982,-124.1573,74.43,73,0,10.36,clear sky
209,Auki,SB,-8.7676,160.7034,78.24,86,98,1.36,overcast clouds
210,Thiruvananthapuram,IN,8.4833,76.9167,78.78,89,40,0.0,mist
211,Jibuti,DJ,11.5,42.5,71.02,73,72,9.64,broken clouds
212,Ponta Delgada,PT,37.7333,-25.6667,62.51,77,75,11.5,broken clouds
213,Lensk,RU,60.7253,114.9278,-28.53,100,75,1.5,broken clouds
214,Iqaluit,CA,63.7506,-68.5145,-25.87,75,75,2.3,broken clouds
215,Matara,LK,5.9485,80.5353,74.8,91,100,1.1,overcast clouds
216,Brae,GB,60.3964,-1.353,44.51,89,97,22.21,overcast clouds
217,Cabo Rojo,PR,18.0866,-67.1457,78.73,79,58,1.01,broken clouds
218,Bentiu,SS,9.2333,29.8333,78.31,27,7,4.79,clear sky
219,Kavieng,PG,-2.5744,150.7967,81.23,77,100,3.47,light rain
220,Provideniya,RU,64.3833,-173.3,-7.98,83,11,4.72,few clouds
221,Nanortalik,GL,60.1432,-45.2371,29.98,97,100,11.56,snow
222,Zhangjiakou,CN,40.81,114.8794,18.72,88,100,3.83,light snow
223,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,35.68,snow
224,Impfondo,CG,1.6381,18.0667,76.84,31,14,2.82,few clouds
225,Saint-Philippe,RE,-21.3585,55.7679,78.35,80,33,10.89,scattered clouds
226,Port Talbot,GB,51.5924,-3.7802,50.18,94,100,5.99,overcast clouds
227,Sola,VU,-13.8833,167.55,78.06,85,99,15.7,overcast clouds
228,Pevek,RU,69.7008,170.3133,-22.38,98,100,8.93,overcast clouds
229,San Ignacio,BZ,17.1561,-89.0714,89.74,55,40,0.0,scattered clouds
230,Teguldet,RU,57.3064,88.1667,-0.81,88,6,9.93,clear sky
231,Chicama,PE,-7.8447,-79.1469,70.34,64,34,9.64,scattered clouds
232,Ahuimanu,US,21.4447,-157.8378,80.46,57,20,11.5,few clouds
233,Flinders,AU,-34.5833,150.8552,70.18,86,74,5.01,broken clouds
234,Ilulissat,GL,69.2167,-51.1,15.82,86,100,23.02,snow
235,Thompson,CA,55.7435,-97.8558,-3.84,50,0,9.22,clear sky
236,Jawhar,SO,2.7809,45.5005,73.56,75,93,15.19,overcast clouds
237,North Bend,US,43.4065,-124.2243,70.92,73,0,8.05,clear sky
238,Yushala,RU,57.0761,64.2601,-2.0,100,100,2.84,overcast clouds
239,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,86,100,10.51,overcast clouds
240,Vestmanna,FO,62.1564,-7.1664,38.32,93,75,3.44,broken clouds
241,Riyadh,SA,24.6877,46.7219,51.94,37,0,9.93,clear sky
242,Kulu,TR,39.0951,33.0799,29.26,83,100,3.58,overcast clouds
243,Ligatne,LV,57.2343,25.0406,33.26,81,98,7.0,overcast clouds
244,Agadir,MA,30.4202,-9.5982,55.85,66,11,4.27,few clouds
245,Twentynine Palms,US,34.1356,-116.0542,80.46,7,18,4.0,few clouds
246,Beian,NO,63.6559,9.5683,38.01,81,75,17.27,light rain
247,Leningradskiy,RU,69.3833,178.4167,-18.33,96,96,4.07,overcast clouds
248,Baculin,PH,7.4525,126.5842,76.01,85,94,4.38,overcast clouds
249,Hopelchen,MX,19.7667,-89.85,83.48,79,86,3.78,overcast clouds
250,Lata,PT,40.1629,-8.3327,50.72,97,45,1.19,scattered clouds
251,Hermiston,US,45.8404,-119.2895,54.14,43,0,6.91,clear sky
252,Fertod,HU,47.6195,16.8868,37.11,69,0,8.52,clear sky
253,Yangambi,CD,0.8102,24.4336,76.77,60,100,2.64,overcast clouds
254,Cabo San Lucas,MX,22.8909,-109.9124,85.3,35,20,10.36,few clouds
255,Aden,YE,12.7794,45.0367,76.28,66,67,6.69,broken clouds
256,Thinadhoo,MV,0.5333,72.9333,81.05,71,100,8.79,overcast clouds
257,Tomatlan,MX,19.9333,-105.25,87.24,36,27,10.74,scattered clouds
258,Acopiara,BR,-6.0953,-39.4525,78.21,61,75,5.91,broken clouds
259,Hovd,MN,48.0056,91.6419,-17.97,84,66,2.73,broken clouds
260,Berlevag,NO,70.8578,29.0864,24.51,78,65,21.85,broken clouds
