City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Uige,AO,2022-02-11 22:55:10,-7.6087,15.0613,66.99,85,96,1.81
268,Kaeo,NZ,2022-02-11 22:55:11,-35.1,173.7833,76.32,98,93,14.43
269,Buckeye,US,2022-02-11 22:53:27,33.3703,-112.5838,82.85,18,0,5.75
270,Colares,PT,2022-02-11 22:55:12,38.7992,-9.4469,60.33,73,100,15.01
271,Tuatapere,NZ,2022-02-11 22:55:12,-46.1333,167.6833,57.81,61,58,12.33
272,Rute,ES,2022-02-11 22:55:13,37.3269,-4.3683,49.37,64,4,4.36
273,Meulaboh,ID,2022-02-11 22:55:13,4.1363,96.1285,75.11,83,99,4.23
274,Ca Mau,VN,2022-02-11 22:55:13,9.1769,105.15,78.01,80,97,10.36
275,Hoquiam,US,2022-02-11 22:56:14,46.9809,-123.8893,57.92,76,25,4.0
276,Iquique,CL,2022-02-11 22:56:14,-20.2208,-70.1431,71.64,70,17,7.14
277,Ossora,RU,2022-02-11 22:56:15,59.2353,163.0719,-5.8,100,66,4.05
278,Alyangula,AU,2022-02-11 22:56:15,-13.8483,136.4192,82.27,89,41,8.05
279,Kahului,US,2022-02-11 22:56:16,20.8947,-156.47,77.85,78,14,8.99
280,General Roca,AR,2022-02-11 22:56:16,-39.0333,-67.5833,77.4,13,0,8.05
281,Mengcheng,CN,2022-02-11 22:56:17,33.2579,116.5655,37.71,91,92,6.6
282,Vicosa,BR,2022-02-11 22:56:17,-20.7539,-42.8819,65.7,95,100,0.67
283,Boende,CD,2022-02-11 22:56:18,-0.2167,20.8667,79.66,52,78,1.72
284,San Quintin,MX,2022-02-11 22:56:18,30.4833,-115.95,71.17,31,0,6.22
285,Forrest City,US,2022-02-11 22:56:18,35.0081,-90.7898,65.86,56,78,7.36
286,Ostersund,SE,2022-02-11 22:56:19,63.1792,14.6357,27.05,74,75,11.5
287,Powell River,CA,2022-02-11 22:56:20,49.8496,-124.5361,49.08,93,100,6.91
